姓名,点赞数,评论内容
黄冈师范学院,47074,好了好了，五星好评(谁让咱不用呢)[doge][doge][doge][doge][doge][doge][doge][doge][doge]	
傲娇是世界的财富,21129,钉钉确实挺好用的，但是我真的不想用来上课。	
dRekinGb,18824,硬币拿好，这样至少你们失业之后还能撑一撑[doge]	
玄羽网络科技有限公司,8246,还是个二级号，快来欺负他	
郑州科技学院,15063,"科科觉得钉钉很good[点赞]
（反正官博君没用钉钉←_←）	"
兔子-1994,43263,U1说1，官方敢于面对调侃面对差评，还能鬼畜自己确实态度已经不错了，毕竟谁都不想被大时代潮流的被迫选择，加油(? ??_??)?还有一句话说哪里有吐槽哪里就有商机，同时接受批评，同时强化自己。毕竟像我这样想学习的人已经都没机会了。祝各位同学.同事.朋友，学习工作事业，今后前程似锦，步步高升，飞黄腾达。加油(? ??_??)?	
马化腾官方号,20365,五岁就这么惹人嫌，长大还得了，建议封杀[doge]	
木得神社的神明,16942,"1星好评不是你的错，学生党给你打1星最主要的原因是因为他们学校和学校老师借助可以在家上网课所以无所顾虑的布置学习任务的原因造成的。     不好意思迁怒于你让你背锅了。
学校认为，在家上网课不算开学，并且借此机会大量布置作业和学习任务。我是个美术生深有体会。一张速写平均30分钟每天晚上10张，画的不好继续加[无语]，晚上不但有美术作业还有文化作业，一天6科作业，还在钉钉给你限时打卡。还没到高3，晚上要1点以后才能睡，早上6点30起床打卡。而且学校还下达了网课期间不认真的严肃处理，几次作业不好直接开除。在学校可以10点30熄灯，家里1点灯火通明[大哭]。而且还下达了用其他假期补这次在家的时间。。。。。。
 本来还想吐槽好多的，但我这边钉钉响了，长评就写到这了。。。。老师要继续带着我在作业的海洋中遨游了。。。。如果有朝一日让我当上教育局干部的话，我要给所有网课软件加个防沉迷系统[阴险]	"
风启间,9478,刚下课 咳咳	
北寒落天辰,8176,以后可以这样吹牛:那天我让钉钉喊我爸爸了[吃瓜]	
我还在这里哟,10509,错的不是你，错的这个世界[妙啊]	
济南市莱芜一中,6485,下次一定！[呲牙]	
丢人番茄在线咕咕,25192,"★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
钉钉真实好用！一次付清了！不用谢！	"
研究人类恶,4176,表面求饶，实际是官方聚会[doge][doge][doge]	
灵动创想官方,5365,[妙啊] 我想出名	
坟前吸引鬼,4528,还在逛b站呢，明天起床上网课[tv_doge]	
修仙至尊,11740,"你们可能不知道在家用钉钉上网课是什么概念
我们一般只会用两个字来形容这种人：学怪！

我经常说一句话，当年他小学生作文写未来在家上课，我今天0202年实现一波不是问题。
打他一个卡，这个作业不能交，这个作业不用交，交了就死定了。
反手给一个一星好评，闷声发大财。他还使劲推广？但是不用怕，他的推广赢不了五星。
打卡，网课，作业，作息，直播，很牛逼这波操作，如果把这个直播平台换成虎牙，我这把火箭将绝杀，但是换不得。
单走一个课程表，傻～逼，直接把课程表送走了。  
打他一个卡顶他。钉钉快点，钉钉，钉钉你评分让我们打成渣了都不来吗？钉钉你快点下架啊！钉钉别磨磨蹭蹭的。

给钉钉发份作业好吧，钉钉给你发一份五年高考三年模拟。

给钉钉发一份五三模拟！开始你的直播秀，刷赞刷赞。漂亮！

你一个老师靠钉钉能抓到我刷b站？你能抓到我？！你今天能人赃并获抓到我！当！场！就让你把这个电脑屏幕给吃掉！！！

（一脸懵逼+生无可恋脸）

欸我刚才好像是说让你吃掉吧	"
名字真帅嘻嘻,9214,什么营销号，建议封号[doge][doge][妙啊]	
福建农木木大学,3903,勉为其难给你打个五星吧[doge][doge]不说了，隔壁中国大学慕课今天给我搞裂开了，我先去隔壁分期付款去了[doge][doge]	
腾讯企鹅辅导官方,16758,线上学习？考虑考虑我[大哭]	
卡Q嘤,5198,你搞个钉钉娘我就原谅你[doge]	
黑洛少宿,13715,大家注意啊它承认自己买水军了！	
乙eroBoy,3045,"视频：?????
软件：?☆☆☆☆
恭喜钉钉可以靠做视频谋生了	"
祁汜九,3686,五星了，抽亿个老师封号吧[doge]	
上海惠迪吉公益,2862,下次一钉(｀?ω?′)[doge]	
李拜柒,2832,"下次我一定
但是建议广大学生不要沉迷在钉钉 每天1.5小时就够了
请钉钉开一个1.5小时的防沉迷叭[doge]	"
成都医学院,8367,我们在打了，没意外应该可以[妙啊][doge]	
帅到没名字zzz,5569,钉钉容易吗，别人花大价钱请水军，结果还刚不过你们这千万学生在线分期，都好来b站求饶了，让你们别分期五星，你们还在刷下次一钉，你们怎么能这样！我只想说，下次也不一钉[doge]	
Airsd_,2389,钉钉别怕，腾讯会议比你的分还要低[热词系列_吹爆]	
是杠精拉,2957,钉钉一到应用商店，所有评分高的软件便都看着他笑，有的叫道：“钉钉，你的评论又添上新一星差评了！”他不回答，对店内说：“打五星好评，要水军帮忙洗。”便排出九张马云爸爸的好评题词。他们又故意的高声嚷道：“你一定又强迫学生上网课了！”钉钉睁大眼睛说：“你怎么这样凭空污人清白........”什么清白？我前天亲眼见你被学生打一星好评，吊着打。“钉钉便涨红了脸，额上的青筋条条绽出，争辩道：“办公软件不能算直播网课....办公！......办公人的事，能算差么？”接连便是更难懂的话，什么“DingTalk”，什么“钉一下”之类，引得众人都哄笑起来：店内外充满了快活的空气。	
联想拯救者官方,5386,五星好评走一波[吃瓜]	
上海理工ME智青年,4164,好了好了，五星给了，谁让我们不用呢[滑稽]	
似誌,1863,我不是你爸爸，花呗才是你爸爸，你爸爸天天叫我们分期付款，所以说你这是在弑父。	
iQOO手机,4981,刚去vivo应用商店看了眼，已经两颗星了。顺手一个五星是我最大的支持。[妙啊]	
吾妻初音ミク,7762,感觉 钉钉有点太惨了 本来平时用的人就少 现在特殊时期用的人多了 结果评分惨不忍睹 等开学了 用的人又跟以前一样 评分还。。。。	
sinezx,1752,钉钉你咋样我倒是不太关心，给一下演唱小姐姐的B站ID，我现在就取关你关注她去[热词系列_知识增加]	
破晓的大发,2188,"起初他们让小学生用钉钉，我没有说话，因为我不是小学生。
然后他们让初中生用钉钉，我没有说话，因为我不是初中生。
在后他们让高中生用钉钉，我没有说话，因为我不是高中生。
现在他们让大学生用钉钉，再也没有人能替我说话了。[热词系列_知识增加]	"
傻狗不想写作业,3254,刚刚看了一下钉钉下面的评论（oppo商城）好评五万 中评3000多 差评18.5万 而这个视频的播放量有五十万 你不顶 我不顶 钉钉何时能出头啊[热词系列_打卡]	
花月清梦,1798,不是有钉钉不好，不是不想上课，是不想上网课	
Wlibert,1549,恭喜，在华为应用市场喜提两星1.7分的高分[doge][doge][doge]	
西川德思骐,4880,实话实说，钉钉软件性能真的不错。。大家玩笑适度，[doge]钉钉稳定性真的在办公软件里几乎最强，还免费，就是很少见的良心软件[笑哭]	
长郡远程学校,2427,欺负一下~	
AmosMoses,2263,不过有一说一钉钉确实还比较方便，很多功能都很到位，平常上课也比较方便(回放也真的救了我这个上课就困的[笑哭]）原本以为服务器很容易崩掉结果意外还觉得挺稳定，而且那几天刷爆QQ群的钉钉监控说也被证实是假的了，软件本身没得错，错的是恰蝙蝠的没有**的***的野人[无语]——来自被困在楼上三个星期的武汉人[大哭]	
东东明酸,1616,别说了，女装谢罪吧(｀?ω?′)	
小叶子窗,1393,算了，我也逼一下自己，一个赞写五分钟作业十天封顶，那么晚应该不会有人吧？[doge][doge][doge]	
河南农业大学团委,2370,好的，五星分期付款[热词系列_不愧是你]	
火钳考古,1096,是时候逼一下自己了，一个赞写一分钟作业，封顶十二小时（肯定没人发现我）[doge]	
余子降,738,"我们因一个长翅膀的动物，无法相见。
我们因一款长翅膀的软件，再次相遇。	"
进行的酸菜鱼,3386,"听到钉钉铃声的次数
↓	"
阿疏yoka,787,是时候逼一下自己了，一个赞写十分钟作业[2233娘_耶]	
大魔王叫王王,1705,…………[无语]我已经被逼惨了，所以想出来一些办法，找了个手机关闭摄像头权限的软件，和钉钉自动打卡工具………要的私我我给，不要钱，只图大家都睡个安稳觉[无语]，麻烦送我上去谢谢[无语]	
我是芒十一,1402,你们都是蓝色小闪电 我酸了呀[doge]	
潍坊科技学院官方号,4811,有一说一 建议加个防沉迷系统[热词系列_知识增加]	
一本正经の我,661,emmmmmm都发了那么长时间了，我估计肯定看不到我了。论文一个赞写十分钟，预计搞四千字嘿嘿嘿	
中科院格致论道讲坛,3423,加油！！！	
lyp82nmt,630,最惨官方[热词系列_妙啊]	
落雪煮茶,880,几乎所有被强迫用钉钉的人都在骂钉钉，但神奇的是，我几乎没有看到有人骂强迫他们用钉钉的人，这是为什么呢[doge][doge][doge]	
一片新桨,582,音乐区up吗，关注了[doge]期待你更多优秀的作品	
ノ纸鸢ヾ,2346,"你们喷轻点吧，钉钉下架了还有下一个钉钉。
。还不如改变自己的态度。他成了你们的靶子，却并没有你们的靶心。	"
积泥苔煤,524,这里面的主播都不行啊，让她跳个舞怎么还要威胁我开除呢	
轻视频官方,3520,害，学习累了要不来轻视频休息一下？[呲牙]我太沉了，史上最卑微官方的位置稳了	
我是你驯养的小狐狸,14,虽然今天才知道钉钉这个软件，但为了泄愤恶意刷一星？真无法理解，是要逼软件下架吗？而且即使下架还是有其它APP代替的，就问刷一星除了祸害个无辜软件还有什么用	
顾溪清,14,给了五星，毕竟我是大学生[doge]	
渠川一六,14,可怜的钉钉，加油吧。我会给不分期的五星的[笑哭]	
一笑奈何dx,14,"老实说钉钉除了运行有点点卡其他都挺优秀，而且你们是真的冤[笑哭]不是你们的错，是学校或教育局非得开这p用没用还贼麻烦吃力不讨好纯属憨p生活还tm被老师“监视”的网课，没办法教育局和学校他们又不上应用商店啊[笑哭]
你们这回评分爆炸不是坏事，名气可大大提高了，以前学生党有几个知道钉钉的，现在我们可以考虑一下网课风波过了不卸载，将来工作留着用[微笑]
那五星好评就下次一定喽[doge]	"
小小夜神月月,16,额 钉钉这个锅背的好大。。。不过用钉钉开电话会议很方便 远程办公很好	
鱼纹乐er,16,说实话，钉钉也挺惨的，挺好一软件被网课弄的被迫背锅	
郭彤籽,10,大家把害怕打上去	
1744圣圣,10,"＼　　／ 
┏━━━＼／━━━┓
┃┏━━━━━━┓┃
┃┃　 　　　　   ┃┃
┃┃    一星警告    ┃┃
┃┃　　　            ┃┃
┃┗━━━━━━┛ ┃
┗━∪━━━━∪ ━━
／ イ                  (((ヽ
(　 ?　　　　 ￣Ｙ＼
|　(＼　(\      /)   ｜    )
ヽ　ヽ` ( ??? ) _ノ    /
　＼ |　⌒Ｙ⌒　/  /
　 ｜ヽ   · ｜  ·  ? ／
　  ＼トー仝ーイ
　　 ｜ ミ土彡/
          ) \      °   /  
         (     \   y     \
         /       /   \ \    \
      /  /     /        \ \   \
      ( (    ).          ) ).  )
     (      ).            ( |    |
      |    /                \    |
    nnn.  )               (  nnn	"
bili_59601224974,13,为什么分期.这还得得从花呗说起。	
忆绍卿,10,"说句良心话，多少人都是因为不想学习，不想开会，才故意刷的低评分。明明是学校和老板的安排，多大的怨气真能耐找学校找公司谈去呗。真心替钉钉觉得委屈，另外我也不是啥水军，你们爱说我什么就说什么。反正我有我自己的价值观，我就是认为故意刷差评的行为低级且幼稚。何况还有很多人都是跟风刷的。作为成年人，我知道生活很多不容易，学生家里上网课有你们的不容易，那钉钉那么多员工，人家拼死拼活工作就活该被刷差评？自己觉得为难再故意为难别人[无语]
生而为人，善良一点。	"
违规昵称0417,10,钉钉宝贝你放心，我会让评分高于你的学习APP都去陪你?[doge]	
樱花漫漫漫漫,589,请打五星，疫情期间还有无数工作人员冲在一线，就为了大家都能在家工作学习。	
遗忘宠爱,1291,你们学生就放过钉钉吧！钉钉原本是跟我们上班族用的，在疫情年前，阿里巴巴冲在最前面。。你们应该感谢马云，感谢钉钉  感谢阿里巴巴才对。。所以请学生们一次性付清五星好评	
华侨大学招生处,412,钉钉挺好用的[doge]（	
虫合根达斯,193,其实吧，如果假期被延长上网课啥的我一点都不介意，主要是他把我们上完课的时间认定为放假，导致暑假被缩短，不高兴的其实是因为这个。	
远殿在此,311,别太过分了，他还是个孩子	
WyllanWei,388,说真的，虽然我们学校不用钉钉，但看到这么多人无脑乱打一星还是挺同情钉钉的。它只不过是一个普普通通的办公软件，本来并非为网课而生，只是被一些学校利用而已。现在却有人把自己对学校补课的不满发泄在这类软件身上，属实憨憨。这样差评下去导致软件不能正常使用，那些真正需要它们的人怎么办？只想到自己差评逞一时之快，却不想到自己对他人对官方造成多大的伤害，这是何等自私的行为！就像评论里某位站友所说，退一万步说，就算钉钉没有了，还会有千万个钉钉站起来，至少目前那些人没办法改变补课的现状，那为何不去勇敢面对现实呢？再者，为何不考虑考虑老师们补课的初心呢？现在苦一点也是为未来打基础啊。愿钉钉能挺过一波波暗潮！(｀?ω?′)	
他来了QAQ,175,"在线求饶?
偷偷吸粉?	"
タンダラ,207,还有个用修改器给钉钉打零星的[笑哭]	
KMF考满分,218,不知道一直用钉钉的工作党有没得发言权，第一天在家办公视频会议就崩了，我还纳闷怎么这么靠谱的钉钉就崩了呢，原来是少侠们来了_(:з)∠)_不敢打一星不敢当爸爸，五星已打与君共勉。	
幻数和稳定岛和不稳定性海洋,320,别可怜了，钉钉这波稳赚不亏[大笑]评分真的只是噱头而已，真有人只看个评分就敢来说事儿的啊（不好意思这层窗户纸我不捅破不舒服）	
妄名X,176,感觉想出用钉钉上课的才是人才[无语]一个办公软件上直播课真不知道是怎么想的[无语]	
思庐主人,184,只能说年轻的学生太好忽悠了，一个视频就可以相逢一笑泯恩仇。别急，等你们成了社畜，还有机会体验钉钉的完整版~	
超级无敌可爱的萱君,591,"我给钉钉五星好评，不是因为我觉得在家上课比在家玩手机舒服，而是因为我懂得尊重别人的努力。现在网上有关钉钉的搞笑视频特别多，但我看了那些up主做的视频后，说实在，真的很心痛。因为他们和恶意评论的你们一样，将自己的快乐建立在别人的痛苦上。你们应该换位思考一下，如果你是钉钉的开发者之一，你几年起早贪黑，和你的团队一起将软件修订了很多次，希望你的软件可以对一些人有用，可以收到别人的青睐。新冠状肺炎来了，学校和教育部门来与你合作，你觉得这是个机会，一个可以让更多人喜欢上你软件的机会，却没有想到，因为一些学生的不懂事，你的软件濒临下架。你不觉得很可笑吗？一个团队可以因为一些不懂事的人的恶意评论，或者说是一些人的“好玩”，变成现在这个样子。一个软件需要多少人力和财力？一个好软件需要多少人力和财力？这背后是满满的“别人的努力”。真的，你可以不学习，但是不要拿别人的努力去喂狗，因为那是别人的努力，是别人用自己的时间，自己有限的精力一点一点奋斗出来的，不值得你这样的人去浪费…
希望一些打一星的人看了我的评论可以醒悟过来，毕竟我也只是个十几岁的学生，我也心有余而力不足，只能帮它到这里。	"
祭曹,525,属实营销鬼才，作为办公软件本来就不用讨好学生群体，这回拿去做网课提高知名度本来就是得了便宜。现在再来个沙雕视频把热度提上去，这操作真的是牛逼	
木桃小夭,167,"十年后，一名中年前来钉钉应聘。
面试官：请先自我介绍一下
中侠：我曾经是你爸爸
面试官：excuse me？请你再说一遍？！
BGM起，已经不再年轻的中侠再一次唱起了这首沙雕魔幻现实的歌，但这一次，钉钉是爸爸	"
AG丿Sakura,149,你不应该到B站来求五星，因为这里的人只会‘下次一定’[tv_doge]	
上海惠迪吉公益,256,我想知道，三连和五星，你更想要哪个？	
爱老李souvenir的言泽,185,说吧，什么时候出防沉迷系统?????	
风银川,141,这么后面应该不会被发现，一个赞学习一天，一个评论学一星期[偷笑][尴尬]	
进击的蕉太郎,133,我发现这上面全是公用私号的[doge]	
账号已注销,243,"五星好评 
?☆☆☆☆
?☆☆☆☆
?☆☆☆☆
?☆☆☆☆
?☆☆☆☆	"
七岁大的萌新,125,"有一说一，我列一下我的一星原因。
本人用的电脑版。
1.右下角小图标的红点和闪动不能关闭，当家长在闲聊的时候，逼死强迫症。
2.有消息之后全屏观看视频下面的进度条会一直闪闪闪的显现，让我不得不退出把消息点掉。
我把这玩意关掉之后又怕错过重要消息，建议把消息提示改成老师发言有提示。
3.进入直播间之后会有那个橙色提示，而且对话框没有单独存在边上，挡住屏幕。
4.我电脑版钉钉找不到任何一个名为设置的地方。
5.建议移除小助教！
另外希望加入问卷星一类功能，不然交作业之类的太麻烦了。
总体而言界面还算整洁但没有设置，有点简陋，最大的问题是太吵了太吵了太吵了！
（我现在还没打星，疯狂暗示）	"
乘着风飞,331,"作为学生党我真的不懂为什么要在应用商店给钉钉恶意打一星，如果真的觉得这软件使用体验很差那你打一星无所谓，但大多数人都是在跟风式的打差评来发泄自己心中对假期还要上课的不满。我用的是小米手机，在小米应用商店里有很多这样的评论：

“今天没有下雨，差评”
“今天没下雪，一星好评”
“我好好的假期被这东西毁了”
……
诸如此类的评论在这几天疯狂刷屏，其实刷这些评论的大部分是小学生，中学生之类的人群。本想着假期可以延长，没想到还要上网课。怪学校？学校惹不起!怪老师？只敢在背后说!最后只能把怨气撒在这几个无辜的app上!
我是个大学生，明天也得用钉钉上网课，我也不想。但我不会去应用商店刷这样的恶意评论。如果它真的难用，希望大家依据自己真实的体验给它打分，而不是泄愤式的去刷一星。	"
西北没老汉,159,"想在冬天钻被窝，想要熬夜看小说。
不料网课作业多，有苦没法说。
延长假期可不少，每日打卡逃不掉。
老师看学生列表，就我在傻笑。
你钉起来真好听，特别像午夜凶铃。
像我专心学习，大妈在广场放凤凰传奇。
你钉起来真好听，像指甲扣墙壁。
像我做饭，遇到搅拌机，溅我一脸泥。
你钉起来真好听，像满清十大酷刑。
而我像白居易，要远征维京，秀才遇到兵。
你钉起来真好听，像唐僧在念经。
像一首老歌，把我埋在，遗失的土地。
你钉起来真好听，像玩死歌没CD。
像我看电影，屏幕一行字，导演郭敬明。
你钉起来真好听，像半夜看闪灵。
整个世界，受你的鼓励，都关闭手机。
建议大家，给个五星 分五次还清	"
WppWMXyu,110,自刷也真的扛不住百万水军啊[doge]	
54好榜样,121,你看看人家运营多好，自己鬼畜自己，还一口一个爸爸[doge]	
长卿不下棋,249,我们也不想给你一星啊！可是它没零星啊！[微笑]	
米拉尔奇蓮,106,你可以尝试一下，把钉钉的提示音改成：“爸爸”	
放鹤归庭,212,"以前兼职上班打卡都用的是钉钉，觉得挺好用的啊，没必要，真的没必要。
下面那个评论说什么资本家的工具什么的还打了一长串的，真这么生气去找你老师老板对线啊，说白了还是，无能狂怒[doge]	"
卡司Cassssidy,120,。。。。。问题是钉钉这个软件在我们职场人心里也是很差劲的啊！！！这次不过是被大家一下子发现了罢了!用过的同事没一个说钉钉好的！说这个app简直毁灭人性，不给社畜狗饭吃，所以说一星。。。[微笑][微笑][微笑]	
灰原小同学,155,今天晚上刚被要求下载了钉钉，它真的高级，完全玩不明白[无语]这也太卑微了hhhh五星都给你 太可爱了[惊喜]希望你也能出个未成年模式[偷笑]	
张三尊,101,钉钉已经给了5星了，多学点东西不好吗，你们为什么要打一星？不说了，我一个大学生要去给学习通慕课微信打一星了。	
模型创世纪,119,我期期视频抽奖送高达模型多年才10万粉，你一个视频就几十万粉，模玩圈没人权啊[喜极而泣]	
奥凯航空官方帐号,98,说得真好所以我选择分期付款吧[doge]	
无法言喻的名字,115,我觉得你还是去自刷吧，我看是阿里巴巴员工多;还是中国的学生多[tv_doge]	
皮皮花皮皮草,140,搬运豆瓣评论“看到这个，我只能笑中带泪的说句钉钉活该！因为它的产品逻辑就是完完全全为了资本剥削社畜而开发的，是把996推向24×7的夺命工具！相比之下同类型的飞书都比它仁慈多了”	
小虱纸,104,"特意注册了个b站来给钉钉点赞
这就是哔哩哔哩吗？??爱了	"
当下频道,129,真的是笑死我了...	
空蝉旧梦,90,我有个修改器，可以刷0星哦[滑稽][doge]	
给了个力,120,"钉钉本来就是设计给老板和高管的，它服务的客户是这些人。
至于员工隐私、私人时间……需要考虑吗？它所有的设计都是让老板更好地榨取“工作效率”而已。

应该说这个APP的评分越低，才越证明它的成功。
5星好评越多，证明它越失败。
现在在线求饶，怕是失了智。被迫使用的员工和学生，给它打一星很正常啊。
只不过之前社畜们低声下气惯了，学生们比较刚而已。	"
苍茫的落日,80,单数卸钉钉，双数卸王者，没事别瞎赞[囧]	
七少永远喜欢桃桃子,404,这算什么？[微笑]就因为你不想生活这么充 实就对无辜的钉钉重拳出击？看了钉钉下面的评论，什么有钱一起赚或者其他什么玩梗的评论，您还真以为您在玩梗？您这么老卵怎么不打电话给应用商城的工作人员让他们直接下架钉钉呢。如果仅仅因为你的个人偏见就去刷一星，我劝您感觉休学在家。钉钉是个好钉钉	
凌墨不是墨白,67,"谢谢钉钉，现在天天和家人吵架
[doge][doge][doge][doge]	"
Namtaru,221,公司上班一直用钉钉觉得挺好用的，这次的低分真的是冤……其实说到底学习还不是为了自己学，这么不愿意学，建议退学直接去打工，何必为难别人一个app	
Hayasaka-ZIF,74,建议改成：钉   钉   本   钉，在   线   认   爹	
黄全,127,感觉钉钉是真的惨，莫名其妙被当做教育软件，莫名其妙被刷差评。是软件的错吗？它被要求做了自己能力之外的事，还要遭受批判，人家在分类里写的清清楚楚，办公软件，你们非要拿去上课，之后还说哪哪不好，感觉说不过去。毕竟要是你们可以的话，完全可以自己去出个软件专门用来上网课或者申请换专门的软件，非得说一个办公软件在上网课方面哪里不行，这……[无语]	
临君_FG,70,我竟然关注了我正在使用的官方软件[微笑][加油武汉]算了，看你可爱[口罩]五星吧，不过要继续优化哦，有点卡。然后——虽然被选中不是你的错[阴险]但是呢……家校本跟后台可看播放时间是不是有点过分了？嗯？[呲牙][奸笑][doge]	
一脸呆瓜Official,85,老师面前我小心翼翼，APP Store上??重拳出击 ?	
巴拉拉小磨叽,90,钉钉的设计就是为了公司管理员工，我反正真的烦！！！！我就是铁1星，没得改了，对于学生不痛不痒的他们有可能改	
周美灵是我大姐头,77,[热词系列_知识增加][热词系列_可以]	
鸢都李琳琅,100,钉钉这公关方式真的爱了，而且真的聪明，知道自己的此次任务目标。选择了用b站的方式，并以b站作为主战场，向b站的用户“发起进攻”，从场地到用户群体的选择都很棒，值得学习！别拦我，我将带头五星。	
小甜狗花卷的厨房,66,自己刷分可是违法的哦，参见反不当竞争法第二十条	
天使城米线,59,你收费不就行了(●°u°●)?」	
bili_499318209,63,可怜的娃[委屈]，班级钉群一封，五星一次付清[抱拳]	
逍遥的一匹,88,下次一定 分期给你哦[doge][doge]，别哭。还有刷单，通过虚构交易的方式，提升的排名，从而吸引更多顾客光临的作弊行为。这种欺骗消费者的行为，一旦发现经营者对其商品作虚假或者引人误解的商业宣传，或者通过组织虚假交易等方式帮助其他经营者进行虚假或者引人误解的商业宣传的，由监督检查部门责令停止违法行为，处二十万元以上一百万元以下的罚款；情节严重的，处一百万元以上二百万元以下的罚款，可以吊销营业执照。经营者违反第八条规定，属于发布虚假广告的，依照广告法的规定处罚。@阿里巴巴注意一下[doge][doge]	
黄河可入海,61,我是个初三党，自控力极差，是时候该逼自己了，一个赞学习1小时，说到做到[doge][doge]	
大明湖畔的双赢宝,65,好可怜(? ′Д｀?)っ?然后我反手一个无情一星，来叭，你可以开始卧槽了[热词系列_知识增加]	
小可来啦,51,这个软件什么时候不被怼了，那说明这个国家就完了。把锅丢给学生是真的操蛋——钉钉诞生这几年来，但凡我接触过的用钉钉的企业，就没有员工说这个应用好的。老板和各类管理层倒是觉得不错的很多。钉钉的本质是最大化帮助资本家和他的管家们奴役劳工和无产阶级的工具，如果你觉得钉钉不错，要么你们公司其实没怎么使用，要么你已经大小是个管家了。钉钉这个应用本质就是个照妖镜，他能很清晰的照出一个人所处的位置乃至阶级。而身为无产阶级，也不是什么管家，我怎么可能不去怼钉钉？	
V--miku,50,我昨天刚给你们美滋儿滋儿的五星好评，今天老师就让我们下载钉钉了[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸]	
