姓名,点赞数,评论内容,评论时间
是南山鸭,7114,"钉钉风评被害！
告诉你们一个秘密，钉钉是付费软件
就是因为疫情，
才限时免费对学生开放的
求放过！[妙啊][doge]	",2020-02-21 20:06:15
大连外国语大学,2501,好怕这个钉子会甩出去[微笑]	,2020-02-22 09:58:44
安黎之秋,2774,"同学，你好 ，有什么事情我们能帮到你。
我要说的事，你们千万别害怕。
我们是警察，我们不会怕，你请说。
我刚才，在钉钉上网课。
钉钉是哪一位?
不是哪一位，可以直播上课还能连麦开摄像头的钉钉。
（画）
不是课堂派，是钉钉。
（画）
它图标是翅膀，不是猫头鹰。
（画）
不是蝙蝠
钉钉啊！你们都没上网课吗？是那个阿里巴巴的钉钉啊，原来是个办公软件的钉钉啊！明白吗?
明白了，你继续说。
它疯狂地响，从早上八点就催我上课，就像午夜凶铃一样，老师还会叫你去打卡，不打卡就在班级群@你，然后你爸妈就知道了。老师还会用它看你直播看了多久，在上课时间，全都是它。
（警察笑）
你在笑什么
我想起高兴的事情
什么高兴的事情
我不用上网课
你又笑什么
我也不用上网课
你们是同校的，警校不上网课?
对 对
不是 ，是我们已经毕业了。
我再重申一遍，我没在开玩笑！
对 对
我们言归正传，那个，你刚才说的这个——钉钉，好用吗？
它不是好不好用的问题，它真的是那种，那种很少见的那种，他的翅膀像蝙蝠，老师笑容很核善，嘴角弯弯的，很可爱，遗憾的是他原来是个办公软件，现在却用来直播上课
（警察又笑了）
你欺人太甚！我忍你很久啦！
我不用上网课
你明明在笑我！你都没停过！
同学我们受过严格的训练，无论多好笑，我们都不会笑，除非忍不住
不如这样，同学，你先回去等消息，我们一有进展，第一时间通知你
行，你们赶紧解决，好吗，很可怕的，多打一些差评
（开门出去，背后传来大笑声）
（又开门看）
同学，你网课上完了吗?
（出去，大笑声，又进）
同学?	",2020-02-21 21:47:31
中兴手机情报官,1958,小兴是不是来晚了？[吃瓜]	,2020-02-21 23:54:57
大连理工大学盘锦校区,1650,午夜凶钉……（完了，被钉洗脑了）	,2020-02-22 11:52:20
沐州_,2371,什么时候出一期“钉你太美”[doge][吃瓜]	,2020-02-21 20:11:38
阿里巴巴,13152,父子对线归父子对线。帮忙转发还是要转发的！[tv_鼓掌]	,2020-02-21 22:33:20
闲鱼,1132,我可以卸载你吗[微笑][微笑]	,2020-02-22 16:02:49
八荒尘埃,1315,呵，我不用钉钉，我有中国大学MOOC，学习通，腾讯会议，慕课程，[笑哭][笑哭][笑哭]	,2020-02-21 20:04:52
枭鷜xl,788,？？？我来B站好像是要搜搜网课感想的[tv_流泪]	,2020-02-21 20:05:45
SuperType59,1094,这就是阿里最新的虚拟歌姬形象吗？i了i了	,2020-02-22 00:52:48
莫莫莫莫纪,915,"鬼畜区up（迫真）
别做软件了，做自媒体吧[doge]	",2020-02-21 20:09:07
西南大学团委,654,换成提示音蛮好[doge]	,2020-02-22 12:37:49
沐州_,1489,"各位?我在这里分享一个我自己真实的故事?希望你看完。
我是一个三流学校的初中生?今年初三?
我平平凡凡?没有什么特长与天赋?学习成绩不好?也不算很努力。今年迎接我的就是中考了?我似乎自己都对自己自暴自弃了?这次期末考试我比班上最高差了整整250分。似乎命运如此?我就只能上一个差高中。
寒假的每一天晚上?我都默默流泪?为的是这三年没有努力?留下的遗憾。然而?这次疫情?学校布置了在钉钉上网课。
钉钉这个软件?仿佛给予了我希望?它在给我一个自我救赎的机会！在这里上的每一堂课?我都收获满满！这一定是神的旨意?我可以改变自己的命运！感谢钉钉?从今天起?我一定好好学习?以梦为马?不负韶华！！！（五	",2020-02-21 20:02:57
好爱fsl,610,这是钉钉创立时的第一首宣传曲，后来由于太过诡异容易吓坏小孩，被删除了，今天有幸再听到这首歌曲，我非常感动，感谢b站，感谢up主！泪目[doge][doge]	,2020-02-21 20:51:03
Happynewyear_QwQ,1190,"第一！
没看的给个预告~
歌词：
钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉钉	",2020-02-21 20:03:22
西安航空职业技术学院,533,来人啊！！！钉钉又疯了[tv_流泪][tv_流泪][tv_流泪]	,2020-02-22 16:06:33
济南市莱芜一中,500,不 择 手 段[热词系列_“狼火”]	,2020-02-22 08:28:56
南昌大学,475,谢谢，有被怕到[热词系列_知识增加]	,2020-02-22 15:42:26
帅脸熊Official,556,"经典复古鬼畜，钉三多也来甩了【x

《Ievan Polkka》（中文译名《甩葱歌》）是一首来自芬兰的波尔卡（Polka、Polkka）舞曲，是首都赫尔辛基的地方歌谣。民间主要流传且被大部分人承认的版本为日本虚拟歌姬初音未来翻唱的版本。	",2020-02-22 08:50:28
828维文,576,我刚想说 谁画这个钉钉画的这么像 然后就发现 这原来是钉钉发的啊[囧]	,2020-02-22 01:01:37
一拳一嘤,771,"好听
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
★☆☆☆☆
好评[tv_点赞]	",2020-02-21 20:04:48
浅研有点困,472,"明天早读
同学大脑：读死我吧
我的大脑：钉钉钉钉钉钉钉钉钉钉钉钉

我要是被老师叫家长了可不能怪我[doge][doge]	",2020-02-21 20:06:42
baka墨,315,好好一个官方号非得跑去整活，看这2级号都30多w粉丝了	,2020-02-22 00:49:03
零度心碎,257,你到底是个直播软件 还是个鬼畜up主啊？	,2020-02-21 20:13:25
77要努力变强,243,我从B站转到钉钉上网课，你倒好，在B站浪的风生水起[doge][doge][doge]	,2020-02-21 22:29:19
五线乐谱之上,347,著名唱见钉三多[doge][doge][doge]	,2020-02-21 23:35:16
武汉软件工程学院,278,完了，完了，这孩子在说胡话，多半是感染了，拉走隔离	,2020-02-22 12:31:46
cr口我,795,"关于钉钉。
疫情之前：[tv_疑问]
听说之后：[无语]
看见别人开始网课：[吃瓜]
查看各大商城评论：[偷笑]
知到自己要用：[惊讶]
几天后：[灵魂出窍]	",2020-02-21 20:02:40
旗木卡卡西,224,建议改：午夜凶钉	,2020-02-21 20:09:12
轻视频官方,158,我一点都不羡慕[微笑][微笑]	,2020-02-23 01:55:45
舟筱筱,263,完蛋，自从你叫了我爸爸之后，又投个甩钉歌，我现在彻底无法直视老师发作业之后的叮叮声了[囧][热词系列_我哭了]	,2020-02-21 20:09:10
咸鱼修士,124,我赌这小姐姐声音绝对是一粗糙大汉用变声器唱的，如果不让我看到小姐姐就当默认了[doge]	,2020-02-22 12:20:48
TC张zero,151,"@钉钉DingTalk  速来 
进来捞人！！！
简单的介绍一下，下面我艾特的这位是唱这一作品的小姐姐@-Nuey- 
微博@坎瞳
（悄么声滴说一句，据我观察坎瞳小姐姐在微博上更活跃一点）
这个小姐姐的微博简介是这样的:“利事乐队鼓手‖录音师‖日语主持‖音频算法深造中”
小姐姐本人真的太值得爱了，真的是堪比天使的存在，是我见过的非常非常非常好的人了，小姐姐不但本人能力超强，她所在的利事乐队也是宝藏一般的存在。
真的很不希望如此喜欢坎瞳小姐姐被埋没，希望大家能够喜欢这样一位宝藏女神	",2020-02-21 23:12:51
zclaiqccHorizon,122,官方已经疯了，自己嗨起来了[热词系列_知识增加]	,2020-02-21 22:37:16
不吃猫的鱼不是好咸鱼,113,我觉得你们得做好准备了，因为过不了多久钉钉将迎来史上最多卸载量[吃瓜][吃瓜]	,2020-02-22 08:57:54
特效小哥studio,107,钉钉这整活速度····················	,2020-02-21 20:40:21
我就是个无常,112,奇怪的蝙蝠出现了[热词系列_知识增加]	,2020-02-21 20:53:42
星落の霧弥,141,哈哈哈，所以说钉钉真的是有趣，我决定不分期付款了[doge]	,2020-02-21 20:53:18
无法逃避的现实,73,钉钉是不是发现了什么赚钱的好方法？	,2020-02-22 13:53:20
青月十三,73,恭喜钉钉入驻鬼畜区	,2020-02-21 20:41:06
咿咿呀呀乱学语,93,燕子的叫声原来是这样	,2020-02-22 00:53:06
你好历史旗舰店,67,"[热词系列_知识增加]你这dd(钉钉)是翅膀硬了～
(つ  と)
 ∪ω∪	",2020-02-23 21:48:36
z无情z,67,你工作就是做鬼畜么。[doge][doge][doge]	,2020-02-22 00:51:22
音Trust,81,好可爱的乌鸦啊[doge]	,2020-02-21 21:45:27
能帮帮我嘛,69,@阿里巴巴	,2020-02-21 20:48:43
SW_Shine,91,被迫营业	,2020-02-21 20:02:52
有敌桃凌2333,51,[热词系列_知识增加]害怕的兄弟们把害怕打在公屏上[doge]	,2020-02-21 20:40:56
老八の俘虏,73,我上b站搜钉钉，发现了第一例钉钉移植手术视频[热词系列_知识增加][热词系列_可以]	,2020-02-21 21:11:14
bili_392736931,55,共计：217个钉钉	,2020-02-21 20:37:56
五菱汽车,48,二级号，欺负你[doge]	,2020-02-23 18:24:53
江沅陵,44,钉钉一到应用市场，所有的小学生，中学生，高中生便都看着他笑，有的叫道：“钉钉啊，你在应用市场又减了一颗星！”他不回答，对客服说：“把支付宝刻进钉钉里去。”接着就盘出一箱大钱。学生们又故意的嚷道：“本来一星就要下架，你肯定是有后台！”钉钉睁大眼睛说：“你怎么这样凭空污人清白？”“”什么清白？我前天亲眼见了你拿200万给了华为官方。”钉钉便涨红了脸，额上的青筋条条绽出，争辩道，“停课不能停学，我这是为你们学生好，读书人的事怎能算后台呢？”接连着便是难懂的话，什么“君子固疾”，什么“者乎”之类，引得众人都哄笑起来：应用市场外充满了快活的空气。	,2020-02-22 18:34:25
掉落星星の岛,69,"这是发现挽回五星好评已经彻底无望所以开始破罐破摔了么？

钉钉：“来啊，崽种！直视我的铃声！”[笑][笑][笑]	",2020-02-22 01:26:41
53983665967_bili,72,"小学生给钉钉刷一星用意:
让钉钉下架。×
激发钉钉官方潜力，让它成为新网红。√
后生可畏啊，为了培养网红不惜牺牲自己的名誉[doge][doge]	",2020-02-22 01:03:26
Nacfright,47,最近网上老是有人问：钉钉是个什么东西。我打开电脑一查，这电脑没有联网。歪歪斜斜的每幕上都写着“钉钉”几个字，我横竖睡不着，仔细看了半夜，才从字缝里看出来，满屏上都写着两个字“吃人&#34;！	,2020-02-22 16:57:12
bili-yah,76,趁这几天钉钉官方还没6级我这个低仿得好好欺负一下他	,2020-02-21 20:09:54
华米科技,36,[tv_呆][tv_呆]可以出道了。。。	,2020-02-24 18:11:00
凝雪寒霜,36,那么小钉钉你丢的是这一个黄星星??还是这四个白星星呢☆☆☆☆[doge]	,2020-02-22 00:48:12
素还真的迷弟,41,加油吧，努力成为鬼畜区up主[滑稽]超越你阿里爸爸	,2020-02-21 21:01:00
TwO__B,51,强烈要求看一下唱歌的小姐姐！	,2020-02-21 20:06:47
妖_言,36,原本是想举报的结果居然被洗脑了[笑哭][笑哭][笑哭]	,2020-02-21 22:09:13
浅楪悠真,50,少侠们给点赞吧，我想上一回榜[笑哭][笑哭][笑哭][笑哭]	,2020-02-22 02:19:06
可燃红茶yoo,37,小蝙蝠唱歌挺好听的，单推了[打call]	,2020-02-21 20:04:43
这里夕酱w,53,你这是为了融入b站不择手段啊[热词系列_知识增加]	,2020-02-21 20:14:03
糯依Noi,27,钉钉出一套自己的表情包吧！！！！[热词系列_知识增加]	,2020-02-22 09:38:17
YB一茶Rrr,27,钉钉终于在b站改当up主赚钱了吗[妙啊][妙啊]	,2020-02-22 03:52:28
洛十一na,27,钉崽三连了康康我！说实话！软件挺好用的！	,2020-02-22 00:17:03
Echoy_,27,"香港的我表示沒有钉钉
wc！学校说要引入钉钉！
五星分期了解一下
我要靠一己之力將钉钉 刷到評分过低在apple store和google play 消 失[笑]	",2020-02-21 22:55:43
又是被自己帅醒的清晨,30,视频里有多少个钉字我就去打多少个一星[doge][doge]	,2020-02-21 21:38:11
待应,52,我真的觉得钉钉挺好用的，不能打开学生摄像头，不能看学生后台，反正比无限宝好多了，无限宝不仅能看学生后台，还能打开摄像头（虽然我不用无限宝）还有我这个江西的表示赣教云很好用，你们以为我和钉钉没有关系吗？不，你错了（我用钉钉交作业，啊啊啊啊～）	,2020-02-21 20:09:06
很-咸-的-鱼,24,"我们是                  钉钉用户
　　/　　　       ／　｜　　＼
? ??)ノ　　　\( ???\( ???\( ???

我们不喜欢             用钉钉
　　/　　　  ｜　    ｜　　｜
? ??)ノ　     \( ???\( ???\( ???

我们要               删软件   一星好评    
　　/　　　  ｜　    ｜　　｜
? ??)ノ　     \( ???\( ???\( ???
　 ......
　　　 
?д?)?д?)?д?)　　　(???

 
对，一星好评，拿手机来。   好啊好啊
　|　　　|　　　｜　　　   　\
? ??)ノ? ??)ノ? ??)ノ　      \( ???	",2020-02-22 11:06:01
粥里放了盐吗,21,害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕害怕	,2020-02-21 21:18:05
阿里黑科技,17,[tv_流泪]我被你钉住了！	,2020-02-22 11:25:31
包子灌饼油条,15,丁丁成功从官方号变成鬼畜UP主	,2020-02-22 15:10:15
刃下狼血,15,这可是绝妙的鬼畜素材啊	,2020-02-22 10:23:13
疯狂的公兔子,23,刚看你跳了钉钉净土??????	,2020-02-21 20:02:52
天浩星,14,原来这是个燕子啊，我一直以为是什么奇怪的鸡[喜极而泣][喜极而泣][喜极而泣]	,2020-02-23 07:20:18
虎牙楚恒丶痛苦,28,那啥，我想升级了，点赞的都是我爸爸[大哭][大哭][大哭][大哭][大哭]	,2020-02-22 05:46:24
青藤?暮霭,11,我看了3遍才发现这只蝙蝠拿的是钉子[doge][doge]	,2020-02-21 23:36:52
时崎狂三Coldword,52,AV90164987快去	,2020-02-21 20:03:51
L方正,10,"钉钉：你们可能不知道用一只蝙蝠就达到好几千万下载量是什么概念，我们一般用两个字来形容这种应用‘A（APP）怪’，我经常说一句话：当年刺激战场能用2个赛季达到五千七百万下载量，我钉钉用一只蝙蝠达到好几千万，不是问题。（不是说这就是钉钉的阴谋）钉钉：埋伏学生一手，这个款不用捐（指捐给红十字会），反手一个直播功能，闷声发大财，他（学生）也一星好评，但是不用怕，他的一星赢不了我，家校本，直播课，打卡，很NB这个功能；如果能把这个一（星）换成五（星），我这个应用将绝杀，可是换不得，单作一个恶搞视频，SB，直接把举报点了。老师，老师！这你都不管吗？老师你快点嘛，老师，别磨磨蹭蹭的。视频会议、填表，加错了应该加入惩罚功能的，给老师点个赞??好吧，给老师，点一个赞??好吧，开始你的作业秀，加它！加它！漂亮！上万个一星你能秒我，你能秒杀我，今天你能用上万个一星把我秒了，我当场就把蝙蝠吃掉！！！
（纯属搞笑，绝无恶意，武汉加油(? ??_??)?）	",2020-02-23 14:26:56
波妞哝,10,钉钉不求饶直接走精神污染复仇路线了?	,2020-02-22 02:54:40
超级拉布拉多,10,这就是B站鬼畜区吗？爱了[热词系列_知识增加]	,2020-02-21 20:47:57
一个葱生人,24,性感钉钉在线钉钉钉	,2020-02-22 00:58:40
一颗苜蓿吖,9,"钉钉：太棒了
我要是自刷，失败了的话
就来小破站当up	",2020-02-22 22:46:30
印花板板糖,9,出周边玩偶吧！燕子有点可爱！！！	,2020-02-22 19:55:39
深红辣酱,9,害怕	,2020-02-22 12:35:48
思夜book,16,燕子不应该是喳喳喳吗[热词系列_知识增加]	,2020-02-21 22:37:31
不能吃的ak酱,15,小燕子，我们给你打一星，你就每周出来做鬼畜了，阿里这么多产品，我们是不是可以挨个整一遍，我们就天天有鬼畜听了[doge]	,2020-02-22 00:19:11
CSukidayo,7,我两岁的小外甥听到这个跟疯了一样 非要我一直循环放[捂脸]	,2020-02-23 14:15:41
衡阳市七中动漫社,7,刚来b站，这就是所谓的二次元吗？爱了爱了[doge]	,2020-02-22 18:41:32
超威吴克光头猫,7,甩♂丁♂歌[滑稽]	,2020-02-22 17:29:04
Napstablook01,7,鸟类迷惑行为	,2020-02-22 14:31:16
你是什么啥狗,7,我给你一个三连可以吗[灵魂出窍][灵魂出窍]	,2020-02-22 11:04:28
筱因,7,你是不是上瘾了(=?ω?=)	,2020-02-21 21:20:38
谦和学子,9,我是一名高三学生，正值疫情老师们用钉钉给我们上直播课，但有的老师年龄较大不太会使用电脑或者手边没有电脑，上课只能用手机所以要一直举着手机照要讲的题或学案直播，这样不仅老师很累而且麻烦，有时还会有阴影遮挡题目上课效果不好，有的老师网络信号不好还经常卡顿，所以拜托钉钉的工作人员能不能增加手机群直播屏幕的功能，这样老师就能直播手机里的PPT或提前拍好的照片使效率大大提升。这是一个不知道是否可行的想法，如果行拜托钉钉更新此功能，如果不行非常抱歉给大家添麻烦了，祝疫情早日过去，武汉加油，中国加油！看到的朋友麻烦点个赞送我上去让钉钉看见，谢谢！        2020.2.22	,2020-02-22 21:02:15
吉祥鸟漫画,9,??上课看你的视频，忘关麦克风被老师逮了，现在在在线写检讨，??三连没了+举报，不用谢??	,2020-02-22 09:13:05
奇怪的智商,6,建议赶紧入驻网易云音乐，将这歌加入网易歌单里，同意的大佬顶我上去	,2020-03-05 23:05:22
超能少年wjm,6,"十年后，一位社畜坐在工位上，身体微微颤抖
“嗯……嗯呃啊~不，不要了放过我吧”意外身着燕尾服的男子悄然出现在社畜的身后，“怎么，这样就受不了了”，社畜愤然叫出，“十年前，不就是因为上网课，给你打了一星嘛，你何必念念不忘至此！”，一只手挑起社畜的下巴，“只是打了一星？呵，当年为一场新冠病毒，被选为网课平台，你只是为了不上课，竟组队给我刷一星，我差点命都没了你居然说只是小事？”社畜“我当年才十几岁啊！”“我当年也才五岁啊！现在，呵呵，你永远也别想离开我”社畜被按在工位上，只见眼前页面上，钉一声，有多了一堆需要处理的工作，“不！——”
三级号是个可爱的猫科动物，当到了快四级的时候就会写个小软文企图求个赞ヾ(????)?~	",2020-03-05 13:01:17
一只白熊一一阿极,6,"我看了六遍才看清了这只蝙蝠手上拿的是根钉子
手里握着的是钉头
蝙蝠你不怕被扎手吗[doge]	",2020-02-26 13:20:02
夜雨寄杯,6,一个赞抄一页二十四史[doge]	,2020-02-24 14:22:46
eyeyeyeyeyey,6,被孩子们刷了几天一星就出来求饶，那过去几年中被老板用钉钉全天候召唤，装作没看到也会被老板看到“已读”的悲惨社畜们该由谁来安抚呢？[tv_doge]	,2020-02-23 11:11:06
暂时未想好名字,6,其实我觉得钉三多挺可爱的啊[怪我咯]	,2020-02-23 07:37:43
迪士尼在逃律师函,6,"原版：av89441613 
日语：av89869838 
翻唱：av89880262 
手风琴：av89717506 
二胡：av90164348 
口琴：av90131471 
penbeat：av89902708 
古筝：av90116402 
唢呐:av90423750
钢琴：av89653202 
电脑键盘：av90078227 
架子鼓：av89676003
贝斯:av90238433
奶声奶气:av90159210	",2020-02-22 11:51:09
望欧酋,12,入           乡         随        俗	,2020-02-21 20:11:33
浮生烟影,5,是时候逼一下自己了，一个赞写一个小时作业[奋斗]	,2020-02-25 12:09:28
落木潇苒,5,我简称这活叫：钉钉卖艺[OK]	,2020-02-22 18:08:42
在下墨玄君,5,如果干不下去了，欢迎来小破站搭个窝	,2020-02-22 17:34:36
应该是苏丹,5,只有我们不断地打一星，钉钉才会不断地做官方鬼畜[doge][doge][doge]，请明白我的苦心，收下吧！★	,2020-02-22 12:17:56
野崎原子,5,众所周知，钉钉是个音乐区up主	,2020-02-22 10:51:21
chinaspain,5,我很想知道你们还有时间制作？真厉害，而且还好可爱。其实是不是可以让阿里动物园一起来鬼畜啊[热词系列_知识增加]	,2020-02-21 23:31:21
在晚上才会活跃的小鹿,5,你看你爸爸们多爱你，你一发视频都来了[doge]	,2020-02-21 23:27:09
树雪浩男,4,为什么我一看你的视频我的钉钉就响	,2020-03-18 16:54:03
天威与学习,4,"@哔哩哔哩动态? 
@哔哩哔哩娘? 
@哔哩哔哩UP主执事? 
@哔哩哔哩创作中心? 
@哔哩哔哩弹幕网? 
@哔哩哔哩智能姬? 
@哔哩哔哩专栏? 
@碧诗? 
@陈睿? 
@风纪委员33娘? 
@哔哩哔哩娘 
@哔哩哔哩动态? 
@哔哩哔哩娘? 
@哔哩哔哩弹幕网? 
@哔哩哔哩智能姬? 
@新科娘Official 
@白上吹雪Official
@碧诗 
@平安bilibili
@22风纪委员
@33型量产机器人
@哔哩哔哩活动
@哔哩哔哩国创
@哔哩哔哩娘 
@哔哩哔哩UP主执事 
@哔哩哔哩番剧
@哔哩哔哩弹幕网 
@哔哩哔哩小视频
@bilibili电影
@哔哩哔哩线下活动
@哔哩哔哩影业
@哔哩哔哩纪录片
@哔哩哔哩会员购
@哔哩哔哩直播
@哔哩哔哩创作中心 
@哔哩哔哩游戏中心
@哔哩哔哩漫画
@哔哩哔哩动态 
@哔哩哔哩智能姬 
@哔哩哔哩专栏 
@哔哩哔哩客服娘
@哔哩哔哩放映姬
@哔哩哔哩广告娘
@哔哩哔哩招聘
@哔哩哔哩电竞
@哔哩哔哩安全应急响应中心
@哔哩哔哩直播客服	",2020-03-11 20:51:41
皮卡棠,4,其实我想给钉钉分期五分的，但是却被我老妈阻止了，然后就直接给钉钉给5分了，妈妈被钉钉洗脑，我太蓝了[微笑][微笑][微笑][笑][笑][笑]??????	,2020-03-08 21:50:15
浮想蓝图,4,满屏的蝙蝠，怕了[微笑]	,2020-03-04 13:41:32
一颗小白菜芯,4,所以你是燕子还是蚊子？[doge]	,2020-03-03 01:54:34
romike,4,越看这个钉钉越像蝙蝠[热词系列_知识增加]	,2020-03-01 03:06:26
骡的岛の屑猫,4,唉，钉钉也不容易，给你五个大大的星星吧，☆☆☆☆☆	,2020-02-26 13:10:03
未来终究可期,4,"唱甩钉歌的小姐姐找到了

b站：@坎瞳哦坎瞳
https://space.bilibili.com/759700
微博：@坎瞳
http://www.weibo.com/u/2214070287
抖音：@坎瞳
https://v.douyin.com/GsjFX4/	",2020-02-26 01:39:52
花翎桑,4,姓丁的感受到了冒犯	,2020-02-24 22:48:35
欢乐的猪猪,4,"钉钉哥哥，看看我！（渴望的眼神）https://shimo.im/docs/wp9KQHPdh69WwkGH/ 
钉钉哥哥要不戳一下链接吧，不知道为什么好像发不了照片QAQ，呐，给钉钉哥哥一个抱抱，钉钉哥哥不要伤心啦，加油 (? ??o??)?	",2020-02-24 21:54:50
神奇苏西,4,又疯了一个[2233娘_吃惊]钉钉已经不在乎分期五星了，它只想冲今年百大	,2020-02-24 21:48:56
享揶城融媒体宫方帐号,4,？甩丁歌？甩丁？	,2020-02-24 12:32:34
钉钉DingTake,4,"钉钉逐渐意识到搞直播平台哪有当在b站当up耍鬼畜好玩并走向了不归路[滑稽][吃瓜]

[doge]保命神通[doge]	",2020-02-24 10:51:44
百长生啊,4,你说 这黑蝙蝠拿个马桶揣子晃悠啥呢	,2020-02-23 23:39:25
我家衣柜有只猫,4,这软件一点都不好，让主播跳个舞都不跳，还问我哪个班的	,2020-02-23 16:36:19
ADoidonok,4,不亏是钉钉，做到了两天升两级！我们都做不到的事他做到了！	,2020-02-22 21:44:16
DZQ的卿沐妹妹,4,274个钉？！	,2020-02-22 21:15:41
南柯梦我难眠,4,u1s1，钉钉这公关里有人才啊[热词系列_知识增加][热词系列_锤]	,2020-02-22 18:41:46
未期Breakable,4,搁这发视频赚钱请人刷五星呢？[doge][doge][doge]	,2020-02-22 18:13:16
是mayoyi,4,看了5遍才发现 这玩意儿手里拿的是根钉子	,2020-02-22 15:22:10
小雷斯叔叔,4,我真的害怕了[tv_流泪]给你五星一次付清行不行[tv_大哭]★★★★★官方鬼畜，最为致命[tv_笑哭]	,2020-02-22 14:55:23
在下成果男朋友,4,今年百大估计得有钉钉一个[滑稽][滑稽]	,2020-02-22 14:48:04
啦啦啦的cyz,4,你看这只黑qiǎo儿疯了，不如我们……[思考][妙啊]	,2020-02-22 00:56:40
VolleyBallWang,4,弱弱的问一下 燕子有没有ω[热词系列_知识增加]	,2020-02-21 23:31:31
练南钦,4,住口，孽子，你要弑父吗？[doge]	,2020-02-21 23:16:48
八重村的一位巫女,4,这是当初的初音宣传板歌曲然后，然后干啥来着，总之感谢up主，很感动	,2020-02-21 21:40:46
小辛一点,4,钉钉是我用过最棒的软件  必须给五星好评（	,2020-02-21 21:11:14
小鞋匠QAQ,4,奇怪的鬼畜增加了[热词系列_知识增加]	,2020-02-21 21:02:06
小橘轻不轻,4,唱歌的小姐姐声音好好听！	,2020-02-21 20:48:06
贰鼠,4,分屏钉钉看钉钉	,2020-02-21 20:35:56
年少哟s,6,本来我开心的一批，直到今天通知要去钉钉上网课[无语][无语][无语][无语]	,2020-02-22 01:00:56
喘气的朱,9,??五星分期数	,2020-02-22 09:32:33
